book,program,affiliate_url,site_url,source,fetched_at
dk,,,https://sportsbook.draftkings.com/,,
fd,,,https://sportsbook.fanduel.com/,,
mgm,,,https://sports.betmgm.com/,,
caesars,,,https://sportsbook.caesars.com/,,
bet365,,,https://www.bet365.com/,,
fanatics,,,https://sportsbook.fanatics.com/,,
hardrock,,,https://app.hardrock.bet/,,
betrivers,,,https://betrivers.com/,,
thescore,,,https://thescore.bet/,,
bally,,,https://play.ballybet.com/,,
betfred,,,https://www.betfred.us/,,
betparx,,,https://www.betparx.com/,,
prime,,,https://primesportsbook.com/,,
