slug,name,question,intent
no-vig-odds,No-vig odds calculator,What are the true odds behind a sportsbook's price?,strip the margin
expected-value,Expected value calculator,Is this bet +EV?,decide
arbitrage,Arbitrage calculator,How much do I stake on each side?,stake
kelly,Kelly criterion calculator,How much should I bet?,size
hold,Hold and vig calculator,How much is this book charging me?,compare books
bonus-bet-conversion,Bonus bet conversion calculator,What is my free bet actually worth?,convert
middle,Middle calculator,What does this middle need to hit to be worth it?,price a middle
odds-converter,Odds converter,American to decimal to implied probability,convert
breakeven,Break-even calculator,What win rate does this price need?,decide
closing-line-value,CLV calculator,Did I beat the closing line?,grade
hedge,Hedge calculator,How much do I bet to lock in a profit?,lock a result
dutching,Dutching calculator,How do I split a stake across several outcomes?,spread a view
parlay,Parlay calculator,How much does a parlay really pay?,strip the margin
deposit-match,Deposit match calculator,is a deposit match bonus worth it after rollover?,decide before depositing
effective-bets,Effective bets calculator,how many bets am i really making if they are correlated?,size correlated exposure
totals-middle,Totals middle calculator,How do you price a totals middle bet?,price the window
no-sweat-bet,No-sweat bet calculator,What odds should I use for a no-sweat first bet?,pick the qualifying price
profit-boost,Profit boost calculator,What is a profit boost actually worth?,spend the boost well
round-robin,Round robin calculator,What does a round robin actually have to do to pay?,size the ticket
poisson,Poisson calculator,What are the scoreline and totals probabilities?,model a low-scoring game
low-hold,Low hold calculator,What does turning money over actually cost?,cost the turnover
