code,online_legal,launch_date,regulator,tax_rate,min_age,college_props,retail_venues,source,note,fetched_at
AR,yes,2022-03,Arkansas Racing Commission,13,21,allowed,3,https://www.dfa.arkansas.gov/wp-content/uploads/2025ArkansasCasinoGamingNewRules_1.pdf,"Regulator, age and college rules are from the codified rules at 23 CAR Part 358. The 13% is the first tier of the net casino gaming receipts tax that covers sports wagering, stepping to 20% above $150M.",2026-08-18
AZ,yes,2021-09-09,Arizona Department of Gaming,10,21,restricted,,https://www.cftc.gov/media/12146/ArizonaDepartmentOfGaming060225/download,"10% of adjusted gross receipts for mobile against 8% retail, capped by A.R.S. 5-1318. College props are barred; college game outcomes are allowed. Source is the Department's own signed 2025 letter, as its website is behind a challenge page.",2026-08-18
CO,yes,2020-05-01,Colorado Limited Gaming Control Commission,10,21,banned,10,https://sbg.colorado.gov/licensed-sports-books-and-operators,"Tax, age and the collegiate proposition-bet ban are from the Division of Gaming's rules, 1 CCR 207-2.",2026-08-18
CT,yes,2021-10-19,Connecticut Department of Consumer Protection,13.75,21,restricted,,https://portal.ct.gov/gaming/knowledge-base/categories/online-gaming/sports-wagering,13.75% of gross gaming revenue under Public Act 21-23. Wagers on Connecticut college teams are barred except in permitted multi-team tournaments.,2026-08-18
DC,yes,2020-05-28,Office of Lottery and Gaming,20,18,restricted,4,https://dclottery.com/olg/sports-wagering-faqs,"Tax is tiered by licence class under DC Code 36-621.15; 20% is the Class A rate. Age 18, not 21. No wagering on events held in DC or on a DC college team.",2026-08-18
DE,yes,2024-01-03,Delaware State Lottery Office,50,21,restricted,3,https://delcode.delaware.gov/title29/c048/sc01/,"The 50% is the statutory state share of net sports lottery proceeds under 29 Del. C. Ch. 48, a revenue allocation rather than a conventional tax. Delaware-based teams are excluded.",2026-08-18
FL,yes,2023-11,Florida Gaming Control Commission,,21,banned,,https://www.flsenate.gov/Laws/Statutes/2025/285.710,"Regulation is layered: the Seminole Tribal Gaming Commission regulates under the 2021 compact, and Fla. Stat. 285.710(7) makes the FGCC the state compliance agency. No gross-revenue tax; the Tribe pays a revenue share.",2026-08-18
IA,yes,2019-08,Iowa Racing and Gaming Commission,6.75,21,restricted,19,https://irgc.iowa.gov/,Tax confirmed in Iowa Code 99F.11. Player props on athletes from Iowa colleges are prohibited; other college wagering is allowed.,2026-08-18
IL,yes,2020-06-18,Illinois Gaming Board,,21,restricted,15,https://igb.illinois.gov/sports-wagering/sports-reports.html,"Tax is graduated from 20% to 40% of adjusted gross receipts with a separate per-wager tax, so no single rate is quoted. No online wagers on Illinois college teams and none on an individual student athlete.",2026-08-18
IN,yes,,Indiana Gaming Commission,9.5,21,restricted,,https://www.in.gov/igc/files/sportswagering/Sports-Wagering-FAQs.pdf,9.5% of adjusted gross receipts. A 2024 Commission directive limits college wagering to NCAA Division I and bars in-play college player props.,2026-08-18
KS,yes,,Kansas Racing and Gaming Commission,10,21,,,https://krgc.kansas.gov/sports-wagering,The Kansas Lottery owns and operates wagering; the Racing and Gaming Commission certifies and enforces. The 10% is a statutory revenue share rather than an excise.,2026-08-18
KY,yes,2023-09-28,Kentucky Horse Racing and Gaming Corporation,14.25,21,restricted,,https://taxanswers.ky.gov/Sales-and-Excise-Taxes/Pages/Sports-Wagering-.aspx,14.25% online against 9.75% retail under KRS 138.552. HB 904 (2026) raised the age from 18 to 21 and barred negative-outcome props on Kentucky college athletes.,2026-08-18
LA,yes,,Louisiana Gaming Control Board,21.5,,restricted,,https://legis.la.gov/Legis/Law.aspx?d=1239411,"La. R.S. 27:625 levies 21.5% on net proceeds wagered electronically against 10% onsite. No prop bet on an individual athlete in any college event, in-state or not.",2026-08-18
MA,yes,,Massachusetts Gaming Commission,20,21,restricted,3,https://massgaming.com/regulations/revenue/,20% of gross revenue online against 15% retail under MGL c.23N s.14. 205 CMR 247.01 bars all college player props and any Massachusetts college team outside a tournament.,2026-08-18
MD,yes,2022-11-23,Maryland Lottery and Gaming Control Commission,20,21,,14,https://www.mdgaming.com/sports-wagering/,The mobile rate rose to 20% on 1 July 2025; retail is taxed at 15%.,2026-08-18
